contest_id,index,cf_rating,solved_count,num_tags,topic_complexity,has_dp,has_graphs,has_math,difficulty
2202,G1,2500,263,1,1,0,0,0,hard
2202,B,1200,10699,3,5,1,0,0,easy
2202,A,800,15973,1,1,0,0,1,easy
2201,G,3500,59,1,1,0,0,0,hard
2201,F2,2800,381,4,1,0,0,1,hard
2201,F1,2900,256,2,1,0,0,0,hard
2201,E,2900,268,4,5,0,0,1,hard
2201,D,2500,731,3,3,0,0,0,hard
2201,C,2000,1919,3,5,1,0,0,hard
2201,B,1700,4767,1,1,0,0,0,medium
2201,A2,1700,4928,2,5,1,0,0,medium
2201,A1,1300,10708,1,1,0,0,0,medium
2199,I,3000,33,1,1,0,0,0,hard
2199,H,2300,89,5,5,1,0,1,hard
2199,G,2500,57,2,1,0,0,1,hard
2199,F,2000,139,3,1,0,0,1,hard
2199,E,2100,178,3,3,0,0,0,hard
2199,D,1800,268,2,1,0,0,1,medium
2199,C,1600,377,3,3,0,0,0,medium
2199,B,1400,815,3,3,0,0,1,medium
2199,A,1000,1251,1,1,0,0,0,easy
2197,B,1100,15614,4,1,0,0,0,easy
2197,A,800,22499,5,3,0,0,1,easy
2196,F,3300,94,3,5,0,1,0,hard
2196,E2,3000,190,6,5,1,0,0,hard
2196,E1,2900,268,6,3,0,0,0,hard
2196,D,2500,971,6,5,1,0,0,hard
2196,C2,2000,2460,5,5,1,1,0,hard
2196,C1,1800,3515,6,5,1,1,0,medium
2196,B,1600,8328,3,1,0,0,1,medium
2196,A,1200,15423,2,1,0,0,1,easy
2195,H,2400,448,4,5,0,0,0,hard
2195,G,2300,1000,5,5,1,1,0,hard
2195,F,2000,2609,5,5,1,1,1,hard
2195,E,1500,8277,3,5,1,0,0,medium
2195,D,1300,13366,1,1,0,0,1,medium
2195,C,1100,20087,2,5,1,0,0,easy
2195,B,900,24308,2,1,0,0,0,easy
2195,A,800,34658,2,1,0,0,1,easy
2194,F2,3000,166,6,5,1,0,0,hard
2194,F1,2300,866,4,5,1,0,0,hard
2194,E,2000,2520,4,5,1,1,0,hard
2194,D,1600,7641,3,3,0,0,0,medium
2194,C,1300,10668,5,5,1,0,1,medium
2194,B,1000,18015,3,3,0,0,1,easy
2194,A,800,23462,2,3,0,0,1,easy
2193,H,2400,1004,6,5,1,1,0,hard
2193,G,2100,2189,4,3,0,0,0,hard
2193,F,1600,8262,2,5,1,0,0,medium
2193,E,1300,14975,4,5,1,0,1,medium
2193,D,1100,21246,3,3,0,0,0,easy
2193,C,1000,28360,2,3,0,0,0,easy
2193,B,800,29824,1,3,0,0,0,easy
2193,A,800,42161,2,1,0,0,1,easy
2192,F,2900,156,3,5,1,0,1,hard
2192,E,2100,1984,6,5,0,1,0,hard
2192,D,1800,3427,3,5,1,0,0,medium
2192,C,1300,10690,3,3,0,0,1,medium
2192,B,1000,14174,2,1,0,0,0,easy
2192,A,800,17573,2,1,0,0,0,easy
2191,B,1000,19638,2,1,0,0,0,easy
2191,A,800,27475,1,1,0,0,0,easy
2190,G,3300,93,1,5,0,1,0,hard
2190,F,3300,91,2,5,1,0,0,hard
2190,E,3200,219,1,1,0,0,0,hard
2190,D,2500,930,5,3,0,0,0,hard
2190,C,2300,1278,5,3,0,0,0,hard
2190,B2,1900,3134,4,5,1,0,0,medium
2190,B1,1400,10475,6,5,1,0,0,medium
2190,A,1200,16822,3,3,0,0,0,easy
2189,F,2800,215,7,5,1,0,0,hard
2189,E,2600,804,4,3,0,0,1,hard
2189,D2,2200,1896,5,5,1,0,1,hard
2189,D1,1900,3881,5,5,1,0,1,medium
2189,C2,1800,6112,3,1,0,0,1,medium
2189,C1,1300,13689,3,1,0,0,1,medium
2189,B,1200,15072,3,3,0,0,1,easy
2189,A,800,24185,2,3,0,0,0,easy
2188,B,1000,20669,1,3,0,0,0,easy
2188,A,800,25661,1,1,0,0,0,easy
2187,G,3500,82,3,3,0,0,0,hard
2187,F2,3500,65,2,5,1,0,0,hard
2187,F1,3100,204,4,3,0,0,0,hard
2187,E,3500,310,3,5,1,0,0,hard
2187,D,2600,605,3,5,1,0,1,hard
2187,C,2300,1319,7,5,0,1,0,hard
2187,B,1800,5157,4,5,1,0,0,medium
2187,A,1300,15634,2,3,0,0,0,medium
2185,H,2500,652,5,5,1,0,0,hard
2185,G,1800,3204,3,1,0,0,1,medium
2185,F,1700,4913,3,1,0,0,0,medium
2185,E,1500,9990,4,3,0,0,0,medium
2185,D,1100,20330,4,1,0,0,1,easy
2185,C,900,28478,2,1,0,0,0,easy
2185,B,800,39803,1,3,0,0,0,easy
2185,A,800,42131,2,1,0,0,1,easy
2184,G,1900,2878,2,3,0,0,0,medium
2184,F,1900,3785,4,5,1,1,0,medium
2184,E,1800,5642,4,1,0,0,0,medium
2184,D,1600,9317,3,5,1,0,1,medium
2184,C,1100,21541,5,5,1,1,1,easy
2184,B,1100,23787,1,1,0,0,1,easy
2184,A,800,37598,1,1,0,0,1,easy
2183,I2,3500,66,1,1,0,0,0,hard
2183,I1,3500,79,1,1,0,0,0,hard
2183,H,3500,157,4,5,1,0,0,hard
2183,G,3200,218,3,3,0,0,0,hard
2183,F,2500,1090,5,5,1,0,0,hard
2183,E,2100,2821,3,5,1,0,1,hard
2183,D2,2100,2476,7,3,0,0,0,hard
2183,D1,1500,8708,4,3,0,0,0,medium
2183,C,1500,10558,4,3,0,0,1,medium
2183,B,1100,16017,2,3,0,0,0,easy
2183,A,800,23536,1,1,0,0,0,easy
2182,G,2800,346,5,5,1,0,0,hard
2182,F2,2500,1079,6,3,0,0,1,hard
2182,F1,2300,1255,5,5,1,0,1,hard
2182,E,1800,5495,5,3,0,0,0,medium
2182,D,1600,8830,4,5,1,0,1,medium
2182,C,1200,15314,3,5,1,0,0,easy
2182,B,800,23223,1,1,0,0,0,easy
2182,A,800,25081,4,3,0,0,0,easy
2181,M,1700,3250,2,5,1,0,0,medium
2181,L,2800,132,2,1,0,0,1,hard
2181,K,3500,63,4,5,0,1,0,hard
2181,J,2300,693,4,5,1,0,1,hard
2181,I,3500,47,1,5,0,0,0,hard
2181,H,1200,6445,3,1,0,0,1,easy
2181,G,2400,622,5,5,1,1,1,hard
2181,F,1600,3439,1,1,0,0,0,medium
2181,E,2900,135,4,3,0,0,0,hard
2181,D,2000,1329,3,3,0,0,0,hard
2181,C,3200,139,4,3,0,0,1,hard
2181,B,1400,5524,3,3,0,0,0,medium
2181,A,1300,3653,3,3,0,0,1,medium
2180,H2,3500,103,1,1,0,0,0,hard
2180,H1,3400,118,1,1,0,0,0,hard
2180,G,3500,132,4,1,0,0,1,hard
2180,F2,3200,221,4,5,1,0,0,hard
2180,F1,2800,401,3,5,1,0,0,hard
2180,E,2300,1722,5,5,1,0,1,hard
2180,D,1900,4211,4,5,1,0,1,medium
2180,C,1900,6378,5,5,1,0,0,medium
2180,B,800,24422,2,3,0,0,0,easy
2180,A,800,25723,2,1,0,0,0,easy
2179,H,2200,1290,5,5,1,0,1,hard
2179,G,2200,1191,3,1,0,0,1,hard
2179,F,2000,2699,6,5,0,1,0,hard
2179,E,1800,5705,3,5,0,0,1,medium
2179,D,1300,13324,4,3,0,0,1,medium
2179,C,1100,22055,4,1,0,0,1,easy
2179,B,800,28086,3,5,1,0,0,easy
2179,A,800,34088,2,1,0,0,1,easy
2178,I,3300,215,4,5,1,1,0,hard
2178,H,3300,305,4,5,0,1,0,hard
2178,G,2800,586,5,5,1,0,0,hard
2178,F,2200,1805,3,3,0,0,1,hard
2178,E,2000,3662,3,3,0,0,0,hard
2178,D,1700,6646,4,3,0,0,1,medium
2178,C,1200,15498,3,5,1,0,0,easy
2178,B,900,21416,4,5,1,0,0,easy
2178,A,800,25435,2,3,0,0,0,easy
2176,F,2400,1450,5,5,1,0,1,hard
2176,E,2400,1231,7,5,1,0,0,hard
2176,D,1800,5671,4,5,1,1,0,medium
2176,C,1300,15543,2,3,0,0,0,medium
2176,B,1000,22695,3,3,0,0,0,easy
2176,A,800,28801,3,3,0,0,1,easy
2175,B,1300,12002,2,1,0,0,1,medium
2175,A,800,18533,1,1,0,0,0,easy
2174,F,2800,431,5,5,1,0,1,hard
2174,E2,3200,92,5,3,0,0,1,hard
2174,E1,3100,120,4,1,0,0,1,hard
2174,D,3400,289,4,5,1,0,0,hard
2174,C2,2500,978,3,1,0,0,1,hard
2174,C1,2400,1122,3,1,0,0,1,hard
2174,B,1900,3888,1,5,1,0,0,medium
2174,A,1200,14040,3,3,0,0,0,easy
2173,F,2600,541,5,3,0,0,1,hard
2173,E,2200,1495,5,3,0,0,0,hard
2173,D,1900,3575,5,5,1,0,1,medium
2173,C,1400,12180,4,3,0,0,0,medium
2173,B,1100,17926,3,5,1,0,1,easy
2173,A,800,23561,2,3,0,0,0,easy
2172,N,2800,162,3,5,0,1,0,hard
2172,M,1300,5674,2,5,0,1,0,medium
2172,L,2300,789,2,5,1,0,0,hard
2172,K,2100,834,2,1,0,0,0,hard
2172,J,2300,557,3,1,0,0,0,hard
2172,I,2000,1059,1,5,0,0,0,hard
2172,H,2500,295,3,1,0,0,0,hard
2172,G,3300,65,0,1,0,0,0,hard
2172,F,1600,3809,3,5,0,1,1,medium
2172,E,1200,5771,1,1,0,0,0,easy
2172,D,3100,96,2,5,1,0,0,hard
2172,C,3100,91,2,3,0,0,0,hard
2172,B,1800,2110,2,3,0,0,0,medium
2172,A,800,14366,1,1,0,0,0,easy
2171,H,2400,992,4,5,1,0,0,hard
2171,G,2000,2285,4,3,0,0,1,hard
2171,F,1600,7017,8,5,1,0,0,medium
2171,E,2000,3598,3,3,0,0,0,hard
2171,D,1400,11387,7,5,1,0,0,medium
2171,C2,1400,11691,3,3,0,0,0,medium
2171,C1,1100,19043,3,3,0,0,0,easy
2171,B,900,26814,1,1,0,0,1,easy
2171,A,800,36895,2,1,0,0,1,easy
2170,F,2600,764,2,5,1,0,0,hard
2170,E,2100,2292,3,5,1,0,0,hard
2170,D,2200,1663,3,3,0,0,0,hard
2170,C,1300,11107,3,3,0,0,0,medium
2170,B,1200,14091,2,3,0,0,1,easy
2170,A,800,19724,5,3,0,0,1,easy
2169,F,2700,330,4,5,1,0,1,hard
2169,E,2400,992,2,5,1,0,0,hard
2169,D2,2100,2244,6,3,0,0,1,hard
2169,D1,1500,8433,4,3,0,0,1,medium
2169,C,1300,12499,4,5,1,0,1,medium
